conjunto,execucao,tempo_execucao,stress,trustworthiness,continuity
spam,1,89.89171528816223,0.06080231994569342,0.9978494776955539,0.4520100502512621
spam,2,95.9717173576355,0.06080231994569342,0.9978494776955539,0.4520100502512621
spam,3,96.45839023590088,0.06080231994569342,0.9978494776955539,0.4520100502512621
spam,4,92.2780704498291,0.06080231994569342,0.9978494776955539,0.4520100502512621
spam,5,94.51687002182007,0.06080231994569342,0.9978494776955539,0.4520100502512621
labeled_data,1,179.48114275932312,0.0672995335487886,0.9606212353908006,0.4651172174474291
labeled_data,1,193.1966733932495,0.0672995335487886,0.9606212353908006,0.4651172174474291
labeled_data,2,193.573796749115,0.0672995335487886,0.9606212353908006,0.4651172174474291
labeled_data,3,203.0259268283844,0.0672995335487886,0.9606212353908006,0.4651172174474291
labeled_data,4,151.43968629837036,0.0672995335487886,0.9606212353908006,0.4651172174474291
labeled_data,5,153.4305374622345,0.0672995335487886,0.9606212353908006,0.4651172174474291
